bibliography.title,metadata.url,bibliography.author.name,bibliography.publication.full
Pride and Prejudice,https://www.gutenberg.org/ebooks/1342,"Austen, Jane","June, 1998"
The Yellow Wallpaper,https://www.gutenberg.org/ebooks/1952,"Gilman, Charlotte Perkins","November, 1999"
Alice's Adventures in Wonderland,https://www.gutenberg.org/ebooks/11,"Carroll, Lewis","March, 1994"
"Frankenstein; Or, The Modern Prometheus",https://www.gutenberg.org/ebooks/84,"Shelley, Mary Wollstonecraft",17-Jun-08
Metamorphosis,https://www.gutenberg.org/ebooks/5200,"Kafka, Franz",16-Aug-05
Adventures of Huckleberry Finn,https://www.gutenberg.org/ebooks/76,"Twain, Mark",20-Aug-06
The Importance of Being Earnest: A Trivial Comedy for Serious People,https://www.gutenberg.org/ebooks/844,"Wilde, Oscar",29-Aug-06
The Adventures of Tom Sawyer,https://www.gutenberg.org/ebooks/74,"Twain, Mark",20-Aug-06
"Narrative of the Life of Frederick Douglass, an American Slave",https://www.gutenberg.org/ebooks/23,"Douglass, Frederick",10-Jan-06
A Doll's House : a play,https://www.gutenberg.org/ebooks/2542,"Ibsen, Henrik","March, 2001"
"Moby Dick; Or, The Whale",https://www.gutenberg.org/ebooks/2701,"Melville, Herman","June, 2001"
The Adventures of Sherlock Holmes,https://www.gutenberg.org/ebooks/1661,"Doyle, Arthur Conan","October 14, 1892"
Great Expectations,https://www.gutenberg.org/ebooks/1400,"Dickens, Charles","July, 1998"
Ulysses,https://www.gutenberg.org/ebooks/4300,"Joyce, James","July, 2003"
A Tale of Two Cities,https://www.gutenberg.org/ebooks/98,"Dickens, Charles","January, 1994"
"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",https://www.gutenberg.org/ebooks/1080,"Swift, Jonathan",Oct-97
Dracula,https://www.gutenberg.org/ebooks/345,"Stoker, Bram",16-Aug-13
The Prince,https://www.gutenberg.org/ebooks/1232,"Machiavelli, Niccolo",11-Feb-06
The Picture of Dorian Gray,https://www.gutenberg.org/ebooks/174,"Wilde, Oscar",9-Jun-08
War and Peace,https://www.gutenberg.org/ebooks/2600,"Tolstoy, Leo, graf","January 1, 1870"
Grimms' Fairy Tales,https://www.gutenberg.org/ebooks/2591,"Grimm, Wilhelm","April, 2001"
"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",https://www.gutenberg.org/ebooks/27827,Vatsyayana,18-Jan-09
Emma,https://www.gutenberg.org/ebooks/158,"Austen, Jane","August, 1994"
Beowulf: An Anglo-Saxon Epic Poem,https://www.gutenberg.org/ebooks/16328,Unknown,19-Jul-05
Les Mis�rables,https://www.gutenberg.org/ebooks/135,"Hugo, Victor",22-Jun-08
The Romance of Lust: A Classic Victorian erotic novel,https://www.gutenberg.org/ebooks/30254,Anonymous,14-Oct-09
Jane Eyre: An Autobiography,https://www.gutenberg.org/ebooks/1260,"Bronte, Charlotte",29-Apr-07
Leaves of Grass,https://www.gutenberg.org/ebooks/1322,"Whitman, Walt","May, 1998"
Dubliners,https://www.gutenberg.org/ebooks/2814,"Joyce, James","September, 2001"
Sense and Sensibility,https://www.gutenberg.org/ebooks/161,"Austen, Jane",25-May-08
Leviathan,https://www.gutenberg.org/ebooks/3207,"Hobbes, Thomas","May, 2002"
The Strange Case of Dr. Jekyll and Mr. Hyde,https://www.gutenberg.org/ebooks/42,"Stevenson, Robert Louis","October, 1992"
Treasure Island,https://www.gutenberg.org/ebooks/120,"Stevenson, Robert Louis",25-Feb-06
Wuthering Heights,https://www.gutenberg.org/ebooks/768,"Bronte, Emily",19-Apr-07
Heart of Darkness,https://www.gutenberg.org/ebooks/219,"Conrad, Joseph",Feb-95
"The Count of Monte Cristo, Illustrated",https://www.gutenberg.org/ebooks/1184,"Dumas, Alexandre","January, 1998"
Gulliver's Travels into Several Remote Nations of the World,https://www.gutenberg.org/ebooks/829,"Swift, Jonathan",15-Jun-09
"The Awakening, and Selected Short Stories",https://www.gutenberg.org/ebooks/160,"Chopin, Kate",11-Mar-06
Peter Pan,https://www.gutenberg.org/ebooks/16,"Barrie, J. M. (James Matthew)","July, 1991"
Siddhartha,https://www.gutenberg.org/ebooks/2500,"Hesse, Hermann",6-Apr-08
The Republic,https://www.gutenberg.org/ebooks/1497,Plato,"October, 1998"
Autobiography of Benjamin Franklin,https://www.gutenberg.org/ebooks/20203,"Franklin, Benjamin",28-Dec-06
The Life and Adventures of Robinson Crusoe,https://www.gutenberg.org/ebooks/521,"Defoe, Daniel",6-Apr-10
