id,title,author,year,link
1,Pride and Prejudice,"Austen, Jane","June, 1998",https://www.gutenberg.org/ebooks/1342
2,The Yellow Wallpaper,"Gilman, Charlotte Perkins","November, 1999",https://www.gutenberg.org/ebooks/1952
3,Alice's Adventures in Wonderland,"Carroll, Lewis","March, 1994",https://www.gutenberg.org/ebooks/11
4,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",17-Jun-08,https://www.gutenberg.org/ebooks/84
5,Metamorphosis,"Kafka, Franz",16-Aug-05,https://www.gutenberg.org/ebooks/5200
6,Adventures of Huckleberry Finn,"Twain, Mark",20-Aug-06,https://www.gutenberg.org/ebooks/76
7,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",29-Aug-06,https://www.gutenberg.org/ebooks/844
8,The Adventures of Tom Sawyer,"Twain, Mark",20-Aug-06,https://www.gutenberg.org/ebooks/74
9,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick",10-Jan-06,https://www.gutenberg.org/ebooks/23
10,A Doll's House : a play,"Ibsen, Henrik","March, 2001",https://www.gutenberg.org/ebooks/2542
11,"Moby Dick; Or, The Whale","Melville, Herman","June, 2001",https://www.gutenberg.org/ebooks/2701
12,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan","October 14, 1892",https://www.gutenberg.org/ebooks/1661
13,Great Expectations,"Dickens, Charles","July, 1998",https://www.gutenberg.org/ebooks/1400
14,Ulysses,"Joyce, James","July, 2003",https://www.gutenberg.org/ebooks/4300
15,A Tale of Two Cities,"Dickens, Charles","January, 1994",https://www.gutenberg.org/ebooks/98
16,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",Oct-97,https://www.gutenberg.org/ebooks/1080
17,Dracula,"Stoker, Bram",16-Aug-13,https://www.gutenberg.org/ebooks/345
18,The Prince,"Machiavelli, Niccolo",11-Feb-06,https://www.gutenberg.org/ebooks/1232
19,The Picture of Dorian Gray,"Wilde, Oscar",9-Jun-08,https://www.gutenberg.org/ebooks/174
20,War and Peace,"Tolstoy, Leo, graf","January 1, 1870",https://www.gutenberg.org/ebooks/2600
21,Grimms' Fairy Tales,"Grimm, Wilhelm","April, 2001",https://www.gutenberg.org/ebooks/2591
22,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",Vatsyayana,18-Jan-09,https://www.gutenberg.org/ebooks/27827
23,Emma,"Austen, Jane","August, 1994",https://www.gutenberg.org/ebooks/158
24,Beowulf: An Anglo-Saxon Epic Poem,Unknown,19-Jul-05,https://www.gutenberg.org/ebooks/16328
25,Les Mis�rables,"Hugo, Victor",22-Jun-08,https://www.gutenberg.org/ebooks/135
26,The Romance of Lust: A Classic Victorian erotic novel,Anonymous,14-Oct-09,https://www.gutenberg.org/ebooks/30254
27,Jane Eyre: An Autobiography,"Bronte, Charlotte",29-Apr-07,https://www.gutenberg.org/ebooks/1260
28,Leaves of Grass,"Whitman, Walt","May, 1998",https://www.gutenberg.org/ebooks/1322
29,Dubliners,"Joyce, James","September, 2001",https://www.gutenberg.org/ebooks/2814
30,Sense and Sensibility,"Austen, Jane",25-May-08,https://www.gutenberg.org/ebooks/161
31,Leviathan,"Hobbes, Thomas","May, 2002",https://www.gutenberg.org/ebooks/3207
32,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis","October, 1992",https://www.gutenberg.org/ebooks/42
